text,author
"in the vale , and one majestic River , The breath and blood of distant",Percy Bysshe Shelley
"lands , for ever Rolls its loud waters to the ocean-waves , Breathes its swift",Percy Bysshe Shelley
vapours to the circling air . V Mont Blanc yet gleams on high : —the,Percy Bysshe Shelley
"power is there , The still and solemn power of many sights , And many",Percy Bysshe Shelley
"sounds , and much of life and death . In the calm darkness of the",Percy Bysshe Shelley
"moonless nights , In the lone glare of day , the snows descend Upon that",Percy Bysshe Shelley
"Mountain ; none beholds them there , Nor when the flakes burn in the sinking",Percy Bysshe Shelley
"sun , Or the star-beams dart through them . Winds contend Silently there , and",Percy Bysshe Shelley
"heap the snow with breath Rapid and strong , but silently ! Its home The",Percy Bysshe Shelley
"voiceless lightning in these solitudes Keeps innocently , and like vapour broods Over the snow",Percy Bysshe Shelley
". The secret Strength of things Which governs thought , and to the infinite dome",Percy Bysshe Shelley
"Of Heaven is as a law , inhabits thee ! And what were thou ,",Percy Bysshe Shelley
"and earth , and stars , and sea , If to the human mind 's",Percy Bysshe Shelley
"imaginings Silence and solitude were vacancy ? Music , when soft voices die , Vibrates",Percy Bysshe Shelley
"in the memory— Odours , when sweet violets sicken , Live within the sense they",Percy Bysshe Shelley
"quicken . Rose leaves , when the rose is dead , Are heaped for the",Percy Bysshe Shelley
"belovèd 's bed ; And so thy thoughts , when thou art gone , Love",Percy Bysshe Shelley
itself shall slumber on . The flower that smiles to-day To-morrow dies ; All that,Percy Bysshe Shelley
we wish to stay Tempts and then flies . What is this world 's delight,Percy Bysshe Shelley
"? Lightning that mocks the night , Brief even as bright . Virtue , how",Percy Bysshe Shelley
"frail it is ! Friendship how rare ! Love , how it sells poor bliss",Percy Bysshe Shelley
"For proud despair ! But we , though soon they fall , Survive their joy",Percy Bysshe Shelley
", and all Which ours we call . Whilst skies are blue and bright ,",Percy Bysshe Shelley
"Whilst flowers are gay , Whilst eyes that change ere night Make glad the day",Percy Bysshe Shelley
"; Whilst yet the calm hours creep , Dream thou—and from thy sleep Then wake",Percy Bysshe Shelley
to weep . I . We are as clouds that veil the midnight moon ;,Percy Bysshe Shelley
"How restlessly they speed and gleam and quiver , Streaking the darkness radiantly ! yet",Percy Bysshe Shelley
"soon Night closes round , and they are lost for ever : — II .",Percy Bysshe Shelley
"Or like forgotten lyres whose dissonant strings Give various response to each varying blast ,",Percy Bysshe Shelley
To whose frail frame no second motion brings One mood or modulation like the last,Percy Bysshe Shelley
. III . We rest—a dream has power to poison sleep ; We rise—one wandering,Percy Bysshe Shelley
"thought pollutes the day ; We feel , conceive or reason , laugh or weep",Percy Bysshe Shelley
", Embrace fond woe , or cast our cares away : — IV . It",Percy Bysshe Shelley
"is the same ! —For , be it joy or sorrow , The path of",Percy Bysshe Shelley
its departure still is free ; Man 's yesterday may ne'er be like his morrow,Percy Bysshe Shelley
"; Nought may endure but Mutability . I O wild West Wind , thou breath",Percy Bysshe Shelley
"of Autumn 's being , Thou , from whose unseen presence the leaves dead Are",Percy Bysshe Shelley
"driven , like ghosts from an enchanter fleeing , Yellow , and black , and",Percy Bysshe Shelley
"pale , and hectic red , Pestilence-stricken multitudes : O thou , Who chariotest to",Percy Bysshe Shelley
"their dark wintry bed The winged seeds , where they lie cold and low ,",Percy Bysshe Shelley
"Each like a corpse within its grave , until Thine azure sister of the Spring",Percy Bysshe Shelley
"shall blow Her clarion o'er the dreaming earth , and fill ( Driving sweet buds",Percy Bysshe Shelley
like flocks to feed in air ) With living hues and odours plain and hill,Percy Bysshe Shelley
": Wild Spirit , which art moving everywhere ; Destroyer and preserver ; hear ,",Percy Bysshe Shelley
"oh hear ! II Thou on whose stream , mid the steep sky 's commotion",Percy Bysshe Shelley
", Loose clouds like earth 's decaying leaves are shed , Shook from the tangled",Percy Bysshe Shelley
"boughs of Heaven and Ocean , Angels of rain and lightning : there are spread",Percy Bysshe Shelley
"On the blue surface of thine aëry surge , Like the bright hair uplifted from",Percy Bysshe Shelley
"the head Of some fierce Maenad , even from the dim verge Of the horizon",Percy Bysshe Shelley
"to the zenith 's height , The locks of the approaching storm . Thou dirge",Percy Bysshe Shelley
"Of the dying year , to which this closing night Will be the dome of",Percy Bysshe Shelley
"a vast sepulchre , Vaulted with all thy congregated might Of vapours , from whose",Percy Bysshe Shelley
"solid atmosphere Black rain , and fire , and hail will burst : oh hear",Percy Bysshe Shelley
"! III Thou who didst waken from his summer dreams The blue Mediterranean , where",Percy Bysshe Shelley
"he lay , Lull 'd by the coil of his crystalline streams , Beside a",Percy Bysshe Shelley
"pumice isle in Baiae 's bay , And saw in sleep old palaces and towers",Percy Bysshe Shelley
"Quivering within the wave 's intenser day , All overgrown with azure moss and flowers",Percy Bysshe Shelley
"So sweet , the sense faints picturing them ! Thou For whose path the Atlantic",Percy Bysshe Shelley
"'s level powers Cleave themselves into chasms , while far below The sea-blooms and the",Percy Bysshe Shelley
"oozy woods which wear The sapless foliage of the ocean , know Thy voice ,",Percy Bysshe Shelley
"and suddenly grow gray with fear , And tremble and despoil themselves : oh hear",Percy Bysshe Shelley
! IV If I were a dead leaf thou mightest bear ; If I were,Percy Bysshe Shelley
a swift cloud to fly with thee ; A wave to pant beneath thy power,Percy Bysshe Shelley
", and share The impulse of thy strength , only less free Than thou ,",Percy Bysshe Shelley
"O uncontrollable ! If even I were as in my boyhood , and could be",Percy Bysshe Shelley
"The comrade of thy wanderings over Heaven , As then , when to outstrip thy",Percy Bysshe Shelley
skiey speed Scarce seem 'd a vision ; I would ne'er have striven As thus,Percy Bysshe Shelley
"with thee in prayer in my sore need . Oh , lift me as a",Percy Bysshe Shelley
"wave , a leaf , a cloud ! I fall upon the thorns of life",Percy Bysshe Shelley
! I bleed ! A heavy weight of hours has chain 'd and bow'd One,Percy Bysshe Shelley
"too like thee : tameless , and swift , and proud . V Make me",Percy Bysshe Shelley
"thy lyre , even as the forest is : What if my leaves are falling",Percy Bysshe Shelley
like its own ! The tumult of thy mighty harmonies Will take from both a,Percy Bysshe Shelley
"deep , autumnal tone , Sweet though in sadness . Be thou , Spirit fierce",Percy Bysshe Shelley
", My spirit ! Be thou me , impetuous one ! Drive my dead thoughts",Percy Bysshe Shelley
"over the universe Like wither 'd leaves to quicken a new birth ! And ,",Percy Bysshe Shelley
"by the incantation of this verse , Scatter , as from an unextinguish 'd hearth",Percy Bysshe Shelley
"Ashes and sparks , my words among mankind ! Be through my lips to unawaken",Percy Bysshe Shelley
"'d earth The trumpet of a prophecy ! O Wind , If Winter comes ,",Percy Bysshe Shelley
can Spring be far behind ? One sung of thee who left the tale untold,Percy Bysshe Shelley
", Like the false dawns which perish in the bursting ; Like empty cups of",Percy Bysshe Shelley
"wrought and daedal gold , Which mock the lips with air , when they are",Percy Bysshe Shelley
thirsting . Highlight Actions Enable or disable annotations I met a traveller from an antique,Percy Bysshe Shelley
"land , Who said— “ Two vast and trunkless legs of stone Stand in the",Percy Bysshe Shelley
"desert . . . . Near them , on the sand , Half sunk a",Percy Bysshe Shelley
"shattered visage lies , whose frown , And wrinkled lip , and sneer of cold",Percy Bysshe Shelley
"command , Tell that its sculptor well those passions read Which yet survive , stamped",Percy Bysshe Shelley
"on these lifeless things , The hand that mocked them , and the heart that",Percy Bysshe Shelley
"fed ; And on the pedestal , these words appear : My name is Ozymandias",Percy Bysshe Shelley
"Ozymandias Pharaoh Rameses II ( reigned 1279-1213 BCE ) . According to the OED ,",Percy Bysshe Shelley
"the statue was once 57 feet tall . , King of Kings ; Look on",Percy Bysshe Shelley
"my Works , ye Mighty , and despair ! Nothing beside remains . Round the",Percy Bysshe Shelley
"decay Of that colossal Wreck , boundless and bare The lone and level sands stretch",Percy Bysshe Shelley
far away. ” ( excerpt ) SCENE . —A Ravine of Icy Rocks in the,Percy Bysshe Shelley
Indian Caucasus . Prometheus is discovered bound to the Precipice . Panthea and Ione are,Percy Bysshe Shelley
"seated at his feet . Time , night . During the Scene , morning slowly",Percy Bysshe Shelley
"breaks . Prometheus . Monarch of Gods and Dæmons , and all Spirits But One",Percy Bysshe Shelley
", who throng those bright and rolling worlds Which Thou and I alone of living",Percy Bysshe Shelley
"things Behold with sleepless eyes ! regard this Earth Made multitudinous with thy slaves ,",Percy Bysshe Shelley
"whom thou Requitest for knee-worship , prayer , and praise , And toil , and",Percy Bysshe Shelley
"hecatombs of broken hearts , With fear and self-contempt and barren hope . Whilst me",Percy Bysshe Shelley
", who am thy foe , eyeless in hate , Hast thou made reign and",Percy Bysshe Shelley
"triumph , to thy scorn , O'er mine own misery and thy vain revenge .",Percy Bysshe Shelley
"Three thousand years of sleep-unsheltered hours , And moments aye divided by keen pangs Till",Percy Bysshe Shelley
"they seemed years , torture and solitude , Scorn and despair , —these are mine",Percy Bysshe Shelley
empire : — More glorious far than that which thou surveyest From thine unenvied throne,Percy Bysshe Shelley
", O Mighty God ! Almighty , had I deigned to share the shame Of",Percy Bysshe Shelley
"thine ill tyranny , and hung not here Nailed to this wall of eagle-baffling mountain",Percy Bysshe Shelley
", Black , wintry , dead , unmeasured ; without herb , Insect , or",Percy Bysshe Shelley
"beast , or shape or sound of life . Ah me ! alas , pain",Percy Bysshe Shelley
", pain ever , for ever ! No change , no pause , no hope",Percy Bysshe Shelley
"! Yet I endure . I ask the Earth , have not the mountains felt",Percy Bysshe Shelley
"? I ask yon Heaven , the all-beholding Sun , Has it not seen ?",Percy Bysshe Shelley
"The Sea , in storm or calm , Heaven 's ever-changing Shadow , spread below",Percy Bysshe Shelley
", Have its deaf waves not heard my agony ? Ah me ! alas ,",Percy Bysshe Shelley
"pain , pain ever , for ever ! The crawling glaciers pierce me with the",Percy Bysshe Shelley
"spears Of their moon-freezing crystals , the bright chains Eat with their burning cold into",Percy Bysshe Shelley
"my bones . Heaven 's wingèd hound , polluting from thy lips His beak in",Percy Bysshe Shelley
"poison not his own , tears up My heart ; and shapeless sights come wandering",Percy Bysshe Shelley
"by , The ghastly people of the realm of dream , Mocking me : and",Percy Bysshe Shelley
the Earthquake-fiends are charged To wrench the rivets from my quivering wounds When the rocks,Percy Bysshe Shelley
split and close again behind : While from their loud abysses howling throng The genii,Percy Bysshe Shelley
"of the storm , urging the rage Of whirlwind , and afflict me with keen",Percy Bysshe Shelley
"hail . And yet to me welcome is day and night , Whether one breaks",Percy Bysshe Shelley
"the hoar frost of the morn , Or starry , dim , and slow ,",Percy Bysshe Shelley
"the other climbs The leaden-coloured east ; for then they lead The wingless , crawling",Percy Bysshe Shelley
"hours , one among whom —As some dark Priest hales the reluctant victim— Shall drag",Percy Bysshe Shelley
"thee , cruel King , to kiss the blood From these pale feet , which",Percy Bysshe Shelley
then might trample thee If they disdained not such a prostrate slave . Disdain !,Percy Bysshe Shelley
Ah no ! I pity thee . What ruin Will hunt thee undefended through wide,Percy Bysshe Shelley
"Heaven ! How will thy soul , cloven to its depth with terror , Gape",Percy Bysshe Shelley
"like a hell within ! I speak in grief , Not exultation , for I",Percy Bysshe Shelley
"hate no more , As then ere misery made me wise . The curse Once",Percy Bysshe Shelley
"breathed on thee I would recall . Ye Mountains , Whose many-voicèd Echoes , through",Percy Bysshe Shelley
"the mist Of cataracts , flung the thunder of that spell ! Ye icy Springs",Percy Bysshe Shelley
", stagnant with wrinkling frost , Which vibrated to hear me , and then crept",Percy Bysshe Shelley
"Shuddering through India ! Thou serenest Air , Through which the Sun walks burning without",Percy Bysshe Shelley
"beams ! And ye swift Whirlwinds , who on poisèd wings Hung mute and moveless",Percy Bysshe Shelley
"o'er yon hushed abyss , As thunder , louder than your own , made rock",Percy Bysshe Shelley
"The orbèd world ! If then my words had power , Though I am changed",Percy Bysshe Shelley
so that aught evil wish Is dead within ; although no memory be Of what,Percy Bysshe Shelley
"is hate , let them not lose it now ! What was that curse ?",Percy Bysshe Shelley
for ye all heard me speak . ( excerpt ) '' Throughout these infinite orbs,Percy Bysshe Shelley
"of mingling light , Of which yon earth is one , is wide diffus'd A",Percy Bysshe Shelley
"Spirit of activity and life , That knows no term , cessation , or decay",Percy Bysshe Shelley
"; That fades not when the lamp of earthly life , Extinguish 'd in the",Percy Bysshe Shelley
"dampness of the grave , Awhile there slumbers , more than when the babe In",Percy Bysshe Shelley
"the dim newness of its being feels The impulses of sublunary things , And all",Percy Bysshe Shelley
"is wonder to unpractis 'd sense : But , active , steadfast and eternal ,",Percy Bysshe Shelley
"still Guides the fierce whirlwind , in the tempest roars , Cheers in the day",Percy Bysshe Shelley
", breathes in the balmy groves , Strengthens in health , and poisons in disease",Percy Bysshe Shelley
"; And in the storm of change , that ceaselessly Rolls round the eternal universe",Percy Bysshe Shelley
"and shakes Its undecaying battlement , presides , Apportioning with irresistible law The place each",Percy Bysshe Shelley
spring of its machine shall fill ; So that when waves on waves tumultuous heap,Percy Bysshe Shelley
"Confusion to the clouds , and fiercely driven Heaven 's lightnings scorch the uprooted ocean-fords",Percy Bysshe Shelley
", Whilst , to the eye of shipwreck 'd mariner , Lone sitting on the",Percy Bysshe Shelley
"bare and shuddering rock , All seems unlink 'd contingency and chance , No atom",Percy Bysshe Shelley
"of this turbulence fulfils A vague and unnecessitated task , Or acts but as it",Percy Bysshe Shelley
"must and ought to act . Even the minutest molecule of light , That in",Percy Bysshe Shelley
"an April sunbeam 's fleeting glow Fulfils its destin 'd , though invisible work ,",Percy Bysshe Shelley
"The universal Spirit guides ; nor less , When merciless ambition , or mad zeal",Percy Bysshe Shelley
", Has led two hosts of dupes to battlefield , That , blind , they",Percy Bysshe Shelley
"there may dig each other 's graves , And call the sad work glory ,",Percy Bysshe Shelley
"does it rule All passions : not a thought , a will , an act",Percy Bysshe Shelley
", No working of the tyrant 's moody mind , Nor one misgiving of the",Percy Bysshe Shelley
"slaves who boast Their servitude to hide the shame they feel , Nor the events",Percy Bysshe Shelley
"enchaining every will , That from the depths of unrecorded time Have drawn all-influencing virtue",Percy Bysshe Shelley
", pass Unrecogniz 'd or unforeseen by thee , Soul of the Universe ! eternal",Percy Bysshe Shelley
"spring Of life and death , of happiness and woe , Of all that chequers",Percy Bysshe Shelley
"the phantasmal scene That floats before our eyes in wavering light , Which gleams but",Percy Bysshe Shelley
"on the darkness of our prison , Whose chains and massy walls We feel ,",Percy Bysshe Shelley
"but can not see . `` Spirit of Nature ! all-sufficing Power , Necessity !",Percy Bysshe Shelley
"thou mother of the world ! Unlike the God of human error , thou Requir'st",Percy Bysshe Shelley
no prayers or praises ; the caprice Of man 's weak will belongs no more,Percy Bysshe Shelley
to thee Than do the changeful passions of his breast To thy unvarying harmony :,Percy Bysshe Shelley
"the slave , Whose horrible lusts spread misery o'er the world , And the good",Percy Bysshe Shelley
"man , who lifts with virtuous pride His being in the sight of happiness That",Percy Bysshe Shelley
"springs from his own works ; the poison-tree , Beneath whose shade all life is",Percy Bysshe Shelley
"wither 'd up , And the fair oak , whose leafy dome affords A temple",Percy Bysshe Shelley
"where the vows of happy love Are register 'd , are equal in thy sight",Percy Bysshe Shelley
": No love , no hate thou cherishest ; revenge And favouritism , and worst",Percy Bysshe Shelley
desire of fame Thou know'st not : all that the wide world contains Are but,Percy Bysshe Shelley
"thy passive instruments , and thou Regard'st them all with an impartial eye , Whose",Percy Bysshe Shelley
"joy or pain thy nature can not feel , Because thou hast not human sense",Percy Bysshe Shelley
", Because thou art not human mind . `` Yes ! when the sweeping storm",Percy Bysshe Shelley
of time Has sung its death-dirge o'er the ruin 'd fanes And broken altars of,Percy Bysshe Shelley
"the almighty Fiend Whose name usurps thy honours , and the blood Through centuries clotted",Percy Bysshe Shelley
"there has floated down The tainted flood of ages , shalt thou live Unchangeable !",Percy Bysshe Shelley
"A shrine is rais 'd to thee , Which , nor the tempest-breath of time",Percy Bysshe Shelley
", Nor the interminable flood Over earth 's slight pageant rolling , Availeth to destroy—",Percy Bysshe Shelley
"The sensitive extension of the world . That wondrous and eternal fane , Where pain",Percy Bysshe Shelley
"and pleasure , good and evil join , To do the will of strong necessity",Percy Bysshe Shelley
", And life , in multitudinous shapes , Still pressing forward where no term can",Percy Bysshe Shelley
"be , Like hungry and unresting flame Curls round the eternal columns of its strength",Percy Bysshe Shelley
". '' I dreamed that , as I wandered by the way , Bare Winter",Percy Bysshe Shelley
"suddenly was changed to Spring , And gentle odours led my steps astray , Mixed",Percy Bysshe Shelley
"with a sound of waters murmuring Along a shelving bank of turf , which lay",Percy Bysshe Shelley
"Under a copse , and hardly dared to fling Its green arms round the bosom",Percy Bysshe Shelley
"of the stream , But kissed it and then fled , as thou mightest in",Percy Bysshe Shelley
"dream . There grew pied wind-flowers and violets , Daisies , those pearled Arcturi of",Percy Bysshe Shelley
"the earth , The constellated flower that never sets ; Faint oxlips ; tender bluebells",Percy Bysshe Shelley
", at whose birth The sod scarce heaved ; and that tall flower that wets—",Percy Bysshe Shelley
"Like a child , half in tenderness and mirth— Its mother 's face with Heaven",Percy Bysshe Shelley
"'s collected tears , When the low wind , its playmate 's voice , it",Percy Bysshe Shelley
"hears . And in the warm hedge grew lush eglantine , Green cowbind and the",Percy Bysshe Shelley
"moonlight-coloured may , And cherry-blossoms , and white cups , whose wine Was the bright",Percy Bysshe Shelley
"dew , yet drained not by the day ; And wild roses , and ivy",Percy Bysshe Shelley
"serpentine , With its dark buds and leaves , wandering astray ; And flowers azure",Percy Bysshe Shelley
", black , and streaked with gold , Fairer than any wakened eyes behold .",Percy Bysshe Shelley
"And nearer to the river 's trembling edge There grew broad flag-flowers , purple pranked",Percy Bysshe Shelley
"with white , And starry river buds among the sedge , And floating water-lilies ,",Percy Bysshe Shelley
"broad and bright , Which lit the oak that overhung the hedge With moonlight beams",Percy Bysshe Shelley
"of their own watery light ; And bulrushes , and reeds of such deep green",Percy Bysshe Shelley
As soothed the dazzled eye with sober sheen . Methought that of these visionary flowers,Percy Bysshe Shelley
"I made a nosegay , bound in such a way That the same hues ,",Percy Bysshe Shelley
"which in their natural bowers Were mingled or opposed , the like array Kept these",Percy Bysshe Shelley
"imprisoned children of the Hours Within my hand , —and then , elate and gay",Percy Bysshe Shelley
", I hastened to the spot whence I had come , That I might there",Percy Bysshe Shelley
"present it ! —Oh ! to whom ? Men of England , wherefore plough For",Percy Bysshe Shelley
the lords who lay ye low ? Wherefore weave with toil and care The rich,Percy Bysshe Shelley
robes your tyrants wear ? Wherefore feed and clothe and save From the cradle to,Percy Bysshe Shelley
"the grave Those ungrateful drones who would Drain your sweat—nay , drink your blood ?",Percy Bysshe Shelley
"Wherefore , Bees of England , forge Many a weapon , chain , and scourge",Percy Bysshe Shelley
", That these stingless drones may spoil The forced produce of your toil ? Have",Percy Bysshe Shelley
"ye leisure , comfort , calm , Shelter , food , love ’ s gentle",Percy Bysshe Shelley
balm ? Or what is it ye buy so dear With your pain and with,Percy Bysshe Shelley
"your fear ? The seed ye sow , another reaps ; The wealth ye find",Percy Bysshe Shelley
", another keeps ; The robes ye weave , another wears ; The arms ye",Percy Bysshe Shelley
"forge , another bears . Sow seed—but let no tyrant reap : Find wealth—let no",Percy Bysshe Shelley
imposter heap : Weave robes—let not the idle wear : Forge arms—in your defence to,Percy Bysshe Shelley
"bear . Shrink to your cellars , holes , and cells— In hall ye deck",Percy Bysshe Shelley
another dwells . Why shake the chains ye wrought ? Ye see The steel ye,Percy Bysshe Shelley
tempered glance on ye . With plough and spade and hoe and loom Trace your,Percy Bysshe Shelley
grave and build your tomb And weave your winding-sheet—till fair England be your Sepulchre .,Percy Bysshe Shelley
"Rarely , rarely , comest thou , Spirit of Delight ! Wherefore hast thou left",Percy Bysshe Shelley
me now Many a day and night ? Many a weary night and day 'Tis,Percy Bysshe Shelley
since thou are fled away . How shall ever one like me Win thee back,Percy Bysshe Shelley
again ? With the joyous and the free Thou wilt scoff at pain . Spirit,Percy Bysshe Shelley
false ! thou hast forgot All but those who need thee not . As a,Percy Bysshe Shelley
"lizard with the shade Of a trembling leaf , Thou with sorrow art dismay 'd",Percy Bysshe Shelley
"; Even the sighs of grief Reproach thee , that thou art not near ,",Percy Bysshe Shelley
And reproach thou wilt not hear . Let me set my mournful ditty To a,Percy Bysshe Shelley
"merry measure ; Thou wilt never come for pity , Thou wilt come for pleasure",Percy Bysshe Shelley
"; Pity then will cut away Those cruel wings , and thou wilt stay .",Percy Bysshe Shelley
"I love all that thou lovest , Spirit of Delight ! The fresh Earth in",Percy Bysshe Shelley
"new leaves dress 'd , And the starry night ; Autumn evening , and the",Percy Bysshe Shelley
"morn When the golden mists are born . I love snow , and all the",Percy Bysshe Shelley
"forms Of the radiant frost ; I love waves , and winds , and storms",Percy Bysshe Shelley
", Everything almost Which is Nature 's , and may be Untainted by man 's",Percy Bysshe Shelley
"misery . I love tranquil solitude , And such society As is quiet , wise",Percy Bysshe Shelley
", and good ; Between thee and me What difference ? but thou dost possess",Percy Bysshe Shelley
"The things I seek , not love them less . I love Love—though he has",Percy Bysshe Shelley
"wings , And like light can flee , But above all other things , Spirit",Percy Bysshe Shelley
", I love thee— Thou art love and life ! Oh come , Make once",Percy Bysshe Shelley
"more my heart thy home . The sun is warm , the sky is clear",Percy Bysshe Shelley
", The waves are dancing fast and bright , Blue isles and snowy mountains wear",Percy Bysshe Shelley
"The purple noon 's transparent might , The breath of the moist earth is light",Percy Bysshe Shelley
", Around its unexpanded buds ; Like many a voice of one delight , The",Percy Bysshe Shelley
"winds , the birds , the ocean floods , The City 's voice itself ,",Percy Bysshe Shelley
is soft like Solitude 's . I see the Deep 's untrampled floor With green,Percy Bysshe Shelley
"and purple seaweeds strown ; I see the waves upon the shore , Like light",Percy Bysshe Shelley
"dissolved in star-showers , thrown : I sit upon the sands alone , — The",Percy Bysshe Shelley
"lightning of the noontide ocean Is flashing round me , and a tone Arises from",Percy Bysshe Shelley
"its measured motion , How sweet ! did any heart now share in my emotion",Percy Bysshe Shelley
". Alas ! I have nor hope nor health , Nor peace within nor calm",Percy Bysshe Shelley
"around , Nor that content surpassing wealth The sage in meditation found , And walked",Percy Bysshe Shelley
"with inward glory crowned— Nor fame , nor power , nor love , nor leisure",Percy Bysshe Shelley
". Others I see whom these surround— Smiling they live , and call life pleasure",Percy Bysshe Shelley
; To me that cup has been dealt in another measure . Yet now despair,Percy Bysshe Shelley
"itself is mild , Even as the winds and waters are ; I could lie",Percy Bysshe Shelley
"down like a tired child , And weep away the life of care Which I",Percy Bysshe Shelley
"have borne and yet must bear , Till death like sleep might steal on me",Percy Bysshe Shelley
", And I might feel in the warm air My cheek grow cold , and",Percy Bysshe Shelley
hear the sea Breathe o'er my dying brain its last monotony . Some might lament,Percy Bysshe Shelley
"that I were cold , As I , when this sweet day is gone ,",Percy Bysshe Shelley
"Which my lost heart , too soon grown old , Insults with this untimely moan",Percy Bysshe Shelley
"; They might lament—for I am one Whom men love not , —and yet regret",Percy Bysshe Shelley
", Unlike this day , which , when the sun Shall on its stainless glory",Percy Bysshe Shelley
"set , Will linger , though enjoyed , like joy in memory yet . Unfathomable",Percy Bysshe Shelley
"Sea ! whose waves are years , Ocean of Time , whose waters of deep",Percy Bysshe Shelley
"woe Are brackish with the salt of human tears ! Thou shoreless flood , which",Percy Bysshe Shelley
in thy ebb and flow Claspest the limits of mortality ! And sick of prey,Percy Bysshe Shelley
", yet howling on for more , Vomitest thy wrecks on its inhospitable shore ;",Percy Bysshe Shelley
"Treacherous in calm , and terrible in storm , Who shall put forth on thee",Percy Bysshe Shelley
", Unfathomable Sea ? Like the ghost of a dear friend dead Is Time long",Percy Bysshe Shelley
"past . A tone which is now forever fled , A hope which is now",Percy Bysshe Shelley
"forever past , A love so sweet it could not last , Was Time long",Percy Bysshe Shelley
past . There were sweet dreams in the night Of Time long past : And,Percy Bysshe Shelley
", was it sadness or delight , Each day a shadow onward cast Which made",Percy Bysshe Shelley
"us wish it yet might last— That Time long past . There is regret ,",Percy Bysshe Shelley
"almost remorse , For Time long past . 'T is like a child 's belovèd",Percy Bysshe Shelley
"corse A father watches , till at last Beauty is like remembrance , cast From",Percy Bysshe Shelley
Time long past . One word is too often profaned For me to profane it,Percy Bysshe Shelley
", One feeling too falsely disdained For thee to disdain it ; One hope is",Percy Bysshe Shelley
"too like despair For prudence to smother , And pity from thee more dear Than",Percy Bysshe Shelley
"that from another . I can give not what men call love , But wilt",Percy Bysshe Shelley
"thou accept not The worship the heart lifts above And the Heavens reject not ,",Percy Bysshe Shelley
"— The desire of the moth for the star , Of the night for the",Percy Bysshe Shelley
"morrow , The devotion to something afar From the sphere of our sorrow ? Hail",Percy Bysshe Shelley
"to thee , blithe Spirit ! Bird thou never wert , That from Heaven ,",Percy Bysshe Shelley
"or near it , Pourest thy full heart In profuse strains of unpremeditated art .",Percy Bysshe Shelley
Higher still and higher From the earth thou springest Like a cloud of fire ;,Percy Bysshe Shelley
"The blue deep thou wingest , And singing still dost soar , and soaring ever",Percy Bysshe Shelley
"singest . In the golden lightning Of the sunken sun , O'er which clouds are",Percy Bysshe Shelley
"bright'ning , Thou dost float and run ; Like an unbodied joy whose race is",Percy Bysshe Shelley
just begun . The pale purple even Melts around thy flight ; Like a star,Percy Bysshe Shelley
"of Heaven , In the broad day-light Thou art unseen , but yet I hear",Percy Bysshe Shelley
"thy shrill delight , Keen as are the arrows Of that silver sphere , Whose",Percy Bysshe Shelley
"intense lamp narrows In the white dawn clear Until we hardly see , we feel",Percy Bysshe Shelley
that it is there . All the earth and air With thy voice is loud,Percy Bysshe Shelley
", As , when night is bare , From one lonely cloud The moon rains",Percy Bysshe Shelley
"out her beams , and Heaven is overflow 'd . What thou art we know",Percy Bysshe Shelley
not ; What is most like thee ? From rainbow clouds there flow not Drops,Percy Bysshe Shelley
so bright to see As from thy presence showers a rain of melody . Like,Percy Bysshe Shelley
"a Poet hidden In the light of thought , Singing hymns unbidden , Till the",Percy Bysshe Shelley
world is wrought To sympathy with hopes and fears it heeded not : Like a,Percy Bysshe Shelley
"high-born maiden In a palace-tower , Soothing her love-laden Soul in secret hour With music",Percy Bysshe Shelley
"sweet as love , which overflows her bower : Like a glow-worm golden In a",Percy Bysshe Shelley
"dell of dew , Scattering unbeholden Its a { : e } real hue Among",Percy Bysshe Shelley
"the flowers and grass , which screen it from the view : Like a rose",Percy Bysshe Shelley
"embower'd In its own green leaves , By warm winds deflower 'd , Till the",Percy Bysshe Shelley
scent it gives Makes faint with too much sweet those heavy-winged thieves : Sound of,Percy Bysshe Shelley
"vernal showers On the twinkling grass , Rain-awaken 'd flowers , All that ever was",Percy Bysshe Shelley
"Joyous , and clear , and fresh , thy music doth surpass . Teach us",Percy Bysshe Shelley
", Sprite or Bird , What sweet thoughts are thine : I have never heard",Percy Bysshe Shelley
Praise of love or wine That panted forth a flood of rapture so divine .,Percy Bysshe Shelley
"Chorus Hymeneal , Or triumphal chant , Match 'd with thine would be all But",Percy Bysshe Shelley
"an empty vaunt , A thing wherein we feel there is some hidden want .",Percy Bysshe Shelley
"What objects are the fountains Of thy happy strain ? What fields , or waves",Percy Bysshe Shelley
", or mountains ? What shapes of sky or plain ? What love of thine",Percy Bysshe Shelley
own kind ? what ignorance of pain ? With thy clear keen joyance Languor can,Percy Bysshe Shelley
not be : Shadow of annoyance Never came near thee : Thou lovest : but,Percy Bysshe Shelley
"ne'er knew love 's sad satiety . Waking or asleep , Thou of death must",Percy Bysshe Shelley
"deem Things more true and deep Than we mortals dream , Or how could thy",Percy Bysshe Shelley
"notes flow in such a crystal stream ? We look before and after , And",Percy Bysshe Shelley
pine for what is not : Our sincerest laughter With some pain is fraught ;,Percy Bysshe Shelley
Our sweetest songs are those that tell of saddest thought . Yet if we could,Percy Bysshe Shelley
"scorn Hate , and pride , and fear ; If we were things born Not",Percy Bysshe Shelley
"to shed a tear , I know not how thy joy we ever should come",Percy Bysshe Shelley
"near . Better than all measures Of delightful sound , Better than all treasures That",Percy Bysshe Shelley
